candidate,class,current_status,tracked,production_reference,other_dependency,backup_requirement,rollback_source,recommendation
"add_onpotionused.py; fix_brace_bin.py; fix_brace_v2.py; fix_catid.py; fix_chesttype_and_profile.py; fix_endbattle_brace.py; fix_handleMBBattleEnd.py; fix_logs_and_arrows.py; fix_missing_brace.py; fix_monsterbattle_step2.py; fix_onpotion.py; fix_party_potions.py; fix_partybattleroom.py; fix_potions_v2.py; fix_potions_v3.py; fix_undo_brace.py",A,"already deleted in dirty worktree",yes,none,"no package/CI/hook/runbook execution dependency found","record existing deletion; no new file copy needed if HEAD is accepted rollback","git show HEAD:<path>","preserve current deletion; verify build/tests before committing scoped deletion"
"findstr; npx",A,"already deleted in dirty worktree",yes,none,none,"record existing deletion","git show HEAD:<path>","zero-byte Windows command-redirection artifacts; preserve deletion"
firebase,A,"already deleted in dirty worktree",yes,none,"firebase.json/firestore.rules are active named files","record existing deletion","git show HEAD:firebase","zero-byte/obsolete root artifact; preserve deletion"
"backups/2026-07-14_card-potion-optimization; backups/2026-07-14_firestore-optimization; backups/2026-07-16_performance-charts",A,"already deleted in dirty worktree",yes,none,"historic reports only; git already versions source","record existing deletion and retained operation-log knowledge if needed","git show HEAD:<path>","preserve deletion; do not confuse with current backups/codebase-modernization rollback baseline"
"src/battle/BattleEngine.js; src/battle/useBattleRound.js; src/components/BadgeSVG.jsx; src/components/admin/AdminAchievements.jsx; src/components/admin/AdminAdventurerGuild.jsx; src/components/admin/AdminCostControlBanner.jsx; src/components/booking/ParticipantCountPicker.jsx; src/components/cat/CatAnimationToggle.jsx; src/components/dungeon/DungeonPathSelect.jsx; src/components/member/AdventurerGuild.jsx; src/components/member/CouncilBattle.jsx; src/components/member/GatheringBattle.jsx; src/components/member/HonorTicker.jsx; src/lib/buffPool.js; src/lib/monsterConfig.js; src/zombie/ZombieTestApp.jsx; src/zombie/bridge/crossWorldAdapter.js",A,"already deleted in dirty worktree",yes,"zero static/dynamic/component-name references found in production src","no package script found; compatibility still requires full build/route check; Second Brain still describes some files such as BattleEngine.js as active architecture and must be reconciled","record existing deletions; baseline patch already captures worktree","git show HEAD:<path>","runtime source-clean by grep, but not documentation-clean; require build/focused tests, route smoke, and documentation reconciliation"
init-admin-member.js,B,"already deleted in dirty worktree",yes,none,"historic one-time admin bootstrap; no active runbook invocation found","record existing deletion","git show HEAD:init-admin-member.js","preserve deletion after confirming no disaster-recovery runbook relies on it"
"scripts/fix_*.py; scripts/fix_*.mjs; scripts/remove_*.py; scripts/clean_party_battle.py; scripts/complete_integration.py; scripts/final_party_restructure.py; scripts/apply_*.py; scripts/phase_c_*.py; scripts/insert_milestone_fn.py",B,present,yes,none,"not referenced by package scripts/CI/hooks; 2026-07-14 handoff calls them one-off repairs","copy exact files and hashes to timestamp backup before removal","new backup plus git show HEAD:<path>","archive/delete in small thematic batches only after affected battle routes pass"
"tmp-cardgacha-preview.html; tmp-event-cards-v2-preview.html; tmp-event-scenes-preview.html; tmp-tile-preview.html",B,"present and gitignored",no,none,"manual visual previews only","copy only if still useful as design evidence","existing local file or timestamp backup","remove after owner confirms preview work is complete"
".tmp-dev.out; .tmp-dev.err; .tmp-dev-server*.log; .tmp-dev-server-shop.out",A/B,"present local artifacts",mixed,none,"development-server diagnostics; .tmp-dev.out is tracked and zero bytes; .tmp-dev.err is tracked and 19 bytes; .tmp-dev-server* files are ignored/local","record tracked deletions and use git history for rollback; copy non-empty untracked logs only if incident investigation remains open","git show HEAD:.tmp-dev.out / git show HEAD:.tmp-dev.err; current local copy for ignored logs","remove only when no active server diagnosis is using them; do not mix tracked files and ignored logs into one broad deletion; add consistent ignore coverage"
".deploy-staging-2; .deploy-static-home; .deploy-staging-source.zip; .deploy-static-home-source.zip",B,"directories largely already deleted in dirty worktree; source zip remains",mixed,none,"deployment staging only; not package scripts","no backup if reproducible from source, otherwise record deployment URL/commit","rebuild from source/commit; existing zip if retained","do not stage broad pre-existing deletions with modernization until ownership is confirmed"
